forecast_made_on,ds,yhat,yhat_lower,yhat_upper
2017-06-02,2017-06-03,13.85382739465555,13.708990384100474,13.996047117911935
2017-06-02,2017-06-04,13.942024163345806,13.803516521622475,14.08725235199198
2017-06-02,2017-06-05,13.683873175237771,13.540307058445277,13.831089853674081
2017-06-02,2017-06-06,13.609271246533766,13.473718977951048,13.746960746389487
2017-06-02,2017-06-07,13.649551449706346,13.50810697075859,13.793217213063706
2017-06-02,2017-06-08,13.51873086641103,13.39698932396227,13.659797543082123
2017-06-02,2017-06-09,13.626204043893507,13.481893657241246,13.7758082099698
2017-06-02,2017-06-10,13.863291709806878,13.71633757119423,14.015960519756835
2017-06-02,2017-06-11,13.94825409602987,13.80514745102692,14.084191320469488
2017-06-02,2017-06-12,13.68897521020597,13.55300313268679,13.82766402779773
2017-06-02,2017-06-13,13.61485303678336,13.467086009469016,13.76063582400162
2017-06-02,2017-06-14,13.65637079695666,13.51252773738635,13.789758762651532
2017-06-02,2017-06-15,13.52943744001499,13.38268259488631,13.674593422699088
2017-06-02,2017-06-16,13.630228869845242,13.478504852749118,13.784324502567253
2017-06-02,2017-06-17,13.865356452917025,13.715691767841518,14.00410906529968
2017-06-02,2017-06-18,13.953045577511567,13.800884158382983,14.079974947511507
2017-06-02,2017-06-19,13.694493091192435,13.551498248183059,13.840251975931151
2017-06-02,2017-06-20,13.619759941898764,13.487594439977961,13.773423520873884
2017-06-02,2017-06-21,13.660789093868821,13.513204605459524,13.80434471741172
2017-06-02,2017-06-22,13.529678588768325,13.37870911274204,13.670848774046107
2017-06-02,2017-06-23,13.637739566626065,13.489011714311214,13.78950058923688
2017-06-02,2017-06-24,13.871004216645739,13.732536615583935,14.009611129867318
2017-06-02,2017-06-25,13.95916941167737,13.822578445783517,14.10842893693325
2017-06-02,2017-06-26,13.702302424654361,13.557743166534765,13.841250406609694
2017-06-02,2017-06-27,13.628943778660373,13.496766269128575,13.781397272427345
2017-06-02,2017-06-28,13.672830196502636,13.535603500080075,13.813188842933293
2017-06-02,2017-06-29,13.543086838381502,13.402543413205455,13.691843598321995
2017-06-02,2017-06-30,13.649741579204989,13.5138666611715,13.793259504539845
2017-06-03,2017-06-04,14.006885507293763,13.86368029077684,14.147509989039166
2017-06-03,2017-06-05,13.748771163000324,13.603067422586506,13.899737496835684
2017-06-03,2017-06-06,13.674077866842202,13.53503004750426,13.810644514111555
2017-06-03,2017-06-07,13.714248513759165,13.5753384609854,13.84869693513249
2017-06-03,2017-06-08,13.583343383890064,13.426438608739009,13.729304385971414
2017-06-03,2017-06-09,13.690632668950194,13.539691892487555,13.836830393249956
2017-06-03,2017-06-10,13.926383902872097,13.784603894742698,14.0652557916912
2017-06-03,2017-06-11,14.01096913591332,13.865951729560903,14.151181333141416
2017-06-03,2017-06-12,13.751628307729453,13.599282991034665,13.904079510369531
2017-06-03,2017-06-13,13.677322147605322,13.533894485820555,13.820500486384862
2017-06-03,2017-06-14,13.71867859050502,13.575701766386091,13.850213616868398
2017-06-03,2017-06-15,13.591399188581402,13.451906575922907,13.730331396323612
2017-06-03,2017-06-16,13.692267518134406,13.539138518954346,13.829919387655158
2017-06-03,2017-06-17,13.928397403941771,13.787840110209672,14.080183329296437
2017-06-03,2017-06-18,14.015574462661593,13.87146078627256,14.159984636374375
2017-06-03,2017-06-19,13.756929937696077,13.611554302604201,13.899360261960009
2017-06-03,2017-06-20,13.682042442567788,13.543204299042852,13.821062883296642
2017-06-03,2017-06-21,13.72293934406874,13.580658154065484,13.871945882806772
2017-06-03,2017-06-22,13.59171605093072,13.452616704566013,13.729584642537352
2017-06-03,2017-06-23,13.699560297731233,13.54646560669024,13.847587289038596
2017-06-03,2017-06-24,13.93314301188935,13.787909492453206,14.07641283572317
2017-06-03,2017-06-25,14.020839487723508,13.867337759085169,14.157355868729486
2017-06-03,2017-06-26,13.763882811483569,13.61701113197545,13.897579318858073
2017-06-03,2017-06-27,13.690394430871901,13.55505561789561,13.826062411483054
2017-06-03,2017-06-28,13.734118216588659,13.585512699133517,13.879173209239994
2017-06-03,2017-06-29,13.60430095559741,13.449300293861397,13.73725858634989
2017-06-03,2017-06-30,13.710899633598123,13.567754918220295,13.859792130911165
2017-06-03,2017-07-01,13.948111649019287,13.806685843305937,14.08514524544303
2017-06-04,2017-06-05,13.756424712608574,13.623399709962307,13.893943782158006
2017-06-04,2017-06-06,13.682025322722973,13.526832272089163,13.815768670511973
2017-06-04,2017-06-07,13.722414919410967,13.58131629849674,13.857496142653295
2017-06-04,2017-06-08,13.591740006383812,13.45231765422536,13.720044423343907
2017-06-04,2017-06-09,13.699235341403515,13.557035981862615,13.840223731435223
2017-06-04,2017-06-10,13.935087618795551,13.796262268163872,14.082469484845237
2017-06-04,2017-06-11,14.02038483043427,13.873245558449444,14.161641225260073
2017-06-04,2017-06-12,13.760598995948724,13.618792519446874,13.903530233401437
2017-06-04,2017-06-13,13.686540744396613,13.538669460782963,13.824514361257753
2017-06-04,2017-06-14,13.728041462029847,13.580647880610021,13.87775872804656
2017-06-04,2017-06-15,13.600450523557301,13.452106309492288,13.742560324715436
2017-06-04,2017-06-16,13.701749493393413,13.56046992567438,13.843100691634497
